證券代號,股本
6706,7.8548865
6715,6.6364505
6719,10.5467989
6722,8.84
6742,7.1267948
6743,15.0
6753,11.7239503
6754,6.6
6756,6.9881
6757,45.953
6768,20.0095061
6770,422.53619
6771,3.11795
6776,9.158143
6781,8.541878
6782,6.3
6789,31.8299119
6790,26.7129021
6792,4.7875325
6794,6.3637
6796,4.023397
6799,4.3701593
6805,6.8553896
6806,27.4642902
6807,5.4
6830,5.1781846
6831,6.75
6834,8.8471082
6835,6.6172297
6838,15.09771
6854,11.7678622
6861,4.159925
6862,5.0
6863,7.4888
6869,13.7830041
6873,14.2649099
6885,13.3019
6887,7.4151512
6890,24.94
6901,85.275
6902,3.5358948
6906,3.35374
6908,3.718
6909,6.72222
6914,6.6226
6916,6.75
6918,3.4571
6919,7.7863393
6921,3.1836941
6923,9.1488
6924,2.0624
6928,8.6
6931,6.615216
6933,4.23848
6934,3.5972762
6936,7.2804
6937,6.7655263
6944,7.6687912
6949,6.491255
6951,4.6
6952,6.8345
6955,2.4800785
6957,5.551295
6958,44.328936
6962,49.2396565
6965,15.6336
6969,7.09197208
6988,4.76
6994,7.4162071
7610,4.8585456
7631,2.0142
7705,6.6067304
7711,7.1734195
7721,5.537
7722,6.8
7730,3.6796731
7732,6.468
7736,7.6
7740,5.32
7749,4.6485728
7750,7.1843
7765,4.0681
7769,17.993
7780,8.1002417
7786,17.5361444
7788,7.9745993
7791,8.0
7795,7.88285
7799,15.76755
7821,12.19133
7822,4.5560763
7823,3.349089
8011,16.5921891
8016,12.0136876
8021,14.5042467
8028,17.5283086
8033,15.2629775
8039,26.2926994
8045,9.5041815
8046,64.6165487
8070,7.25648455
8072,8.0
8081,8.6172072
8101,4.9466216
8103,7.8436671
8104,10.4058192
8105,44.1544851
8110,51.7739876
8112,55.5291698
8114,10.7571919
8131,44.2222223
8150,70.4523126
8162,6.8702
8163,28.0000001
8201,6.2366275
8210,12.5319146
8213,27.1242488
8215,32.0674514
8222,6.85735
8249,13.78245
8261,11.8878393
8271,12.9614266
8341,13.0
8367,9.2172031
8374,11.2250487
8404,41.9933884
8411,21.8404319
8422,11.3679605
8429,18.5747151
8438,6.9943
8442,7.0169764
8443,6.68
8454,26.4975275
8462,7.9292063
8463,15.0
8464,29.30202
8466,7.9825628
8467,4.8373575
8473,18.1198446
8476,8.3113179
8478,9.3972276
8481,6.6601866
8482,10.7444
8487,2.6535
8488,7.35
8499,4.1165557
8926,73.0282
8940,6.7491032
8996,9.2482944
9103,8.27042
9105,93.83139832
9110,0.38168
9136,4.40764
9802,20.0991673
9902,9.80496
9904,294.6787213
9905,30.5
9906,9.0376358
9907,157.9145342
9908,51.6358
9910,98.7482831
9911,22.2389584
9912,5.4170569
9914,29.89838
9917,45.1197093
9918,18.0537453
9919,19.536275
9921,39.2065395
9924,15.0761736
9925,38.7489605
9926,17.9504075
9927,12.0
9928,7.0724583
9929,10.128
9930,24.8540368
9931,12.0369303
9933,90.0409873
9934,41.1016962
9935,17.7838926
9937,30.9043
9938,29.7963902
9939,29.5786475
9940,73.68465
9941,67.5636346
9942,8.316132
9943,12.517151
9944,10.59081
9945,284.4225086
9946,32.655415
9955,10.4435829
9958,24.6896665
